Player,Matches,innings_bat,Runs,Balls_played,Outs,SR,Avg,Centuries,Fifties,Fours,Sixes,innings_bowl,Wickets_taken,Total_balls,Total_runs_given,Economy,Bowling_avg,Bowling_SR
RA Jadeja,366,169,2692,2187,108,123.09,24.93,0,2,193,99,197,161,3610,4546,7.56,28.24,22.42
KA Pollard,275,168,3437,2447,129,140.46,26.64,0,16,221,224,107,81,1586,2200,8.32,27.16,19.58
R Ashwin,275,81,714,622,53,114.79,13.47,0,1,56,24,194,189,4333,4966,6.88,26.28,22.93
RG Sharma,269,237,6213,4890,219,127.06,28.37,1,42,554,258,32,16,349,462,7.94,28.88,21.81
SK Raina,269,200,5536,4177,168,132.54,32.95,1,39,506,204,69,30,930,1139,7.35,37.97,31
DJ Bravo,268,110,1560,1247,69,125.1,22.61,0,5,120,66,158,207,3296,4436,8.08,21.43,15.92
PP Chawla,260,80,609,565,53,107.79,11.49,0,0,55,19,180,188,3680,4867,7.94,25.89,19.57
V Kohli,255,229,7273,5739,205,126.73,35.48,7,51,646,235,26,5,264,371,8.43,74.2,52.8
SP Narine,253,92,1046,692,71,151.16,14.73,0,4,114,64,161,182,3812,4296,6.76,23.6,20.95
Harbhajan Singh,248,88,833,636,56,130.97,14.88,0,1,79,42,160,161,3496,4101,7.04,25.47,21.71
SR Watson,246,141,3880,2892,126,134.16,30.79,4,21,377,190,105,107,2137,2742,7.7,25.63,19.97
YK Pathan,235,153,3222,2334,111,138.05,29.03,1,14,263,161,82,46,1184,1443,7.31,31.37,25.74
AR Patel,234,100,1418,1135,69,124.93,20.55,0,1,88,69,134,120,2887,3484,7.24,29.03,24.06
S Dhawan,222,216,6617,5358,189,123.5,35.01,2,50,750,149,6,4,49,72,8.82,18,12.25
B Kumar,220,60,283,308,31,91.88,9.13,0,0,27,3,160,184,3703,4496,7.28,24.43,20.12
KD Karthik,220,220,4517,3492,180,129.35,25.09,0,20,439,139,0,0,0,0,0,0,0
MS Dhoni,217,217,5082,3865,146,131.49,34.81,0,24,349,239,0,0,0,0,0,0,0
A Mishra,216,55,381,440,31,86.59,12.29,0,0,31,5,161,182,3432,4173,7.3,22.93,18.86
KH Pandya,201,96,1514,1175,69,128.85,21.94,0,1,136,56,105,74,1978,2386,7.24,32.24,26.73
Yuvraj Singh,199,126,2754,2207,109,124.78,25.27,0,13,218,149,73,39,882,1091,7.42,27.97,22.62
RV Uthappa,197,197,4954,3927,184,126.15,26.92,0,27,481,182,0,0,0,0,0,0,0
HH Pandya,196,115,2318,1660,77,139.64,30.1,0,10,172,126,81,57,1259,1807,8.61,31.7,22.09
AD Russell,193,95,2266,1374,78,164.92,29.05,0,10,151,193,98,106,1583,2387,9.05,22.52,14.93
GJ Maxwell,192,119,2720,1796,102,151.45,26.67,0,18,227,158,73,34,867,1182,8.18,34.76,25.5
UT Yadav,186,46,196,196,20,100,9.8,0,0,16,8,140,154,3061,4231,8.29,27.47,19.88
AT Rayudu,185,185,4348,3490,152,124.58,28.61,1,22,359,173,0,0,0,0,0,0,0
JH Kallis,184,95,2427,2291,89,105.94,27.27,0,17,255,44,89,74,1799,2348,7.83,31.73,24.31
IK Pathan,183,82,1150,985,53,116.75,21.7,0,1,88,38,101,99,2113,2711,7.7,27.38,21.34
CH Gayle,179,141,4997,3516,128,142.12,39.04,6,32,408,359,38,19,584,755,7.76,39.74,30.74
DA Warner,177,176,6399,4719,156,135.6,41.02,4,61,646,226,1,0,2,2,6,0,0
P Kumar,176,57,340,323,34,105.26,10,0,0,22,17,119,102,2637,3342,7.6,32.76,25.85
AB de Villiers,170,170,5181,3487,125,148.58,41.45,3,41,414,253,0,0,0,0,0,0,0
YS Chahal,161,17,37,89,6,41.57,6.17,0,0,0,0,144,194,3266,4133,7.59,21.3,16.84
AM Rahane,160,159,4400,3658,143,120.28,30.77,2,30,455,96,1,1,6,5,5,5,6
Rashid Khan,159,50,443,280,32,158.21,13.84,0,1,28,35,109,147,2639,2968,6.75,20.19,17.95
MK Pandey,157,157,3817,3255,132,117.27,28.92,1,22,333,109,0,0,0,0,0,0,0
JA Morkel,154,67,975,712,40,136.94,24.38,0,3,61,55,87,96,1807,2409,8,25.09,18.82
G Gambhir,151,151,4217,3524,135,119.67,31.24,0,36,492,59,0,0,0,0,0,0,0
SV Samson,147,147,3888,2903,131,133.93,29.68,3,20,304,182,0,0,0,0,0,0,0
R Vinay Kumar,146,42,310,289,26,107.27,11.92,0,0,21,9,104,127,2186,3041,8.35,23.94,17.21
JJ Bumrah,142,22,56,68,8,82.35,7,0,0,4,1,120,161,2857,3499,7.35,21.73,17.75
SL Malinga,142,20,88,103,12,85.44,7.33,0,0,6,5,122,188,2974,3486,7.03,18.54,15.82
Sandeep Sharma,141,25,54,73,5,73.97,10.8,0,0,4,0,116,138,2689,3444,7.68,24.96,19.49
R Bhatia,138,47,342,290,29,117.93,11.79,0,0,24,13,91,82,1661,2059,7.44,25.11,20.26
PA Patel,136,136,2848,2442,127,116.63,22.43,0,13,365,49,0,0,0,0,0,0,0
DR Smith,134,88,2385,1803,81,132.28,29.44,0,17,245,117,46,27,557,825,8.89,30.56,20.63
WP Saha,134,134,2798,2248,112,124.47,24.98,1,13,278,84,0,0,0,0,0,0,0
Mohammed Shami,133,23,74,82,13,90.24,5.69,0,0,6,2,110,144,2521,3486,8.3,24.21,17.51
CH Morris,130,49,618,413,29,149.64,21.31,0,2,41,35,81,107,1801,2377,7.92,22.21,16.83
MP Stoinis,129,74,1478,1094,55,135.1,26.87,0,7,111,75,55,40,744,1173,9.46,29.32,18.6
STR Binny,129,66,880,700,44,125.71,20,0,0,66,35,63,28,611,763,7.49,27.25,21.82
DW Steyn,128,33,167,163,22,102.45,7.59,0,0,14,3,95,105,2282,2583,6.79,24.6,21.73
MM Sharma,126,26,122,121,14,100.83,8.71,0,0,9,4,100,131,2063,2850,8.29,21.76,15.75
